"","intercept","beta_1","rss","rank"
"12438",22,-7.65,1593421.05777171,12383
"12439",22.5,-7.65,1590075.45720964,12370
"12440",23,-7.65,1586734.85664757,12357
"12441",23.5,-7.65,1583399.2560855,12344
"12442",24,-7.65,1580068.65552343,12331
"12443",24.5,-7.65,1576743.05496136,12319
"12444",25,-7.65,1573422.45439929,12307
"12445",25.5,-7.65,1570106.85383723,12294
"12446",26,-7.65,1566796.25327516,12281
"12447",26.5,-7.65,1563490.65271309,12270
"12448",27,-7.65,1560190.05215102,12257
"12449",27.5,-7.65,1556894.45158895,12244
"12450",28,-7.65,1553603.85102688,12232
"12451",28.5,-7.65,1550318.25046482,12220
"12452",29,-7.65,1547037.64990275,12207
"12453",29.5,-7.65,1543762.04934068,12194
"12454",30,-7.65,1540491.44877861,12181
"12455",30.5,-7.65,1537225.84821654,12168
"12456",31,-7.65,1533965.24765447,12156
"12457",31.5,-7.65,1530709.64709241,12144
"12458",32,-7.65,1527459.04653034,12131
"12459",32.5,-7.65,1524213.44596827,12117
"12460",33,-7.65,1520972.8454062,12104
"12461",33.5,-7.65,1517737.24484413,12091
"12462",34,-7.65,1514506.64428206,12079
"12463",34.5,-7.65,1511281.04371999,12069
"12464",35,-7.65,1508060.44315793,12057
"12465",35.5,-7.65,1504844.84259586,12044
"12466",36,-7.65,1501634.24203379,12031
"12467",36.5,-7.65,1498428.64147172,12018
"12468",37,-7.65,1495228.04090965,12005
"12469",37.5,-7.65,1492032.44034758,11993
"12470",38,-7.65,1488841.83978551,11981
"12471",38.5,-7.65,1485656.23922345,11969
"12472",39,-7.65,1482475.63866138,11956
"12473",39.5,-7.65,1479300.03809931,11943
"12474",40,-7.65,1476129.43753724,11930
"12475",0,-7.7,1768146.3851405,13025
"12476",0.5,-7.7,1764558.13089557,13012
"12477",1,-7.7,1760974.87665065,12997
"12478",1.5,-7.7,1757396.62240572,12984
"12479",2,-7.7,1753823.3681608,12971
"12480",2.5,-7.7,1750255.11391588,12958
"12481",3,-7.7,1746691.85967095,12946
"12482",3.5,-7.7,1743133.60542603,12933
"12483",4,-7.7,1739580.3511811,12920
"12484",4.5,-7.7,1736032.09693618,12907
"12485",5,-7.7,1732488.84269125,12894
"12486",5.5,-7.7,1728950.58844633,12882
"12487",6,-7.7,1725417.33420141,12870
"12488",6.5,-7.7,1721889.07995648,12857
"12489",7,-7.7,1718365.82571156,12844
"12490",7.5,-7.7,1714847.57146663,12831
"12491",8,-7.7,1711334.31722171,12818
"12492",8.5,-7.7,1707826.06297678,12806
"12493",9,-7.7,1704322.80873186,12794
"12494",9.5,-7.7,1700824.55448693,12781
"12495",10,-7.7,1697331.30024201,12768
"12496",10.5,-7.7,1693843.04599709,12755
"12497",11,-7.7,1690359.79175216,12742
"12498",11.5,-7.7,1686881.53750724,12729
"12499",12,-7.7,1683408.28326231,12717
"12500",12.5,-7.7,1679940.02901739,12704
"12501",13,-7.7,1676476.77477246,12691
"12502",13.5,-7.7,1673018.52052754,12678
"12503",14,-7.7,1669565.26628262,12665
"12504",14.5,-7.7,1666117.01203769,12652
"12505",15,-7.7,1662673.75779277,12640
"12506",15.5,-7.7,1659235.50354784,12628
"12507",16,-7.7,1655802.24930292,12615
"12508",16.5,-7.7,1652373.99505799,12602
"12509",17,-7.7,1648950.74081307,12589
"12510",17.5,-7.7,1645532.48656815,12576
